id,name,scientific_name,spacing_mm,height_mm,earliest_plant_day,sunshine,kc_ini,kc_mid,kc_end,l_ini_days,l_dev_days,l_mid_days,l_end_days,photo_url,icon,created_at,updated_at,description,photo_bg
1,Artichoke,Cynara scolymus,1200,900,2020-04-01,Full Sun,0.5,1.0,0.95,40,40,250,30,green-thumb/artichoke,artichoke.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Artichokes are usually grown for the edible flower buds, which are harvested before the flowers open. They need a lot of space, as they will grow into giant bushes.",green-thumb/artichoke_bg
2,Asparagus,Asparagus officinalis,300,250,2020-02-01,Full Sun,0.5,0.95,0.3,50,30,100,50,green-thumb/asparagus,asparagus.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Asparagus has been prized by epicures since Roman times. They enjoy fertile, well drained soil free of persistent weeds. They also grow well alongside tomatoes",green-thumb/asparagus_bg
3,Beet,Beta vulgaris,150,600,2020-03-01,,0.35,1.2,0.7,30,45,90,15,green-thumb/sugar-beet,sugar-beet.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Beets should be a staple of any vegetable garden. As well as being truly delicious, they’re very easy to grow from seed – and you don’t have to wait long ’til harvest time.",green-thumb/sugar-beet_bg
4,Bell Peppers,Capsicum annuum,350,900,2020-04-01,Full sun,0.6,1.05,0.9,25,35,40,20,green-thumb/bell-pepper,bell-pepper.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Bell Peppers, especially the sweet varieties, are a popular pick to grow in the vegetable garden. They can be challenging to grow in some areas, because they need a good deal of heat and sun to set and ripen their fruits. Pepper plants will sit in the garden and wait for the right conditions before they really start to grow.",green-thumb/bell-pepper_bg
5,Broccoli,Brassica oleracea var. italica,450,750,2020-09-01,Full sun,0.7,1.05,0.95,35,45,40,15,green-thumb/broccoli,broccoli.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Broccoli is a member of the cabbage family. It is an excellent plant to grow, because not only is it one of the most nutritious of all vegetables, but it is fairly easy to maintain and is not fussy. A cool-season vegetable, broccoli fully matures in only six to eight weeks and then can be cleared away to make room for a late summer or fall crop. In areas where frost comes late, you can plant it again for a fall crop.",green-thumb/broccoli_bg
6,Cabbage,Brassica oleracea var. capitata,500,900,2020-09-01,Full sun,0.7,1.05,0.95,40,60,50,15,green-thumb/cabbage,cabbage.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Cabbages are some of the most popular vegetables to grow, although we tend to grow a small fraction of the hundreds of varieties available. ​Cabbage plants can grow in cool weather, so you can get an early start on the season. They can also be re-seeded throughout the summer, to have a continual harvest of heads as you need them rather than having them all mature at the same time.",green-thumb/cabbage_bg
7,Cantaloupe,Cucumis melo var. cantalupensis,900,2400,2020-08-01,Full sun,0.5,0.85,0.6,10,60,25,25,green-thumb/cantaloupe,cantaloupe.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Sweet, juicy cantaloupe fruit can be yours with the right combination of sun, soil, and —something that's a little hard to control- pollination. Nothing screams summer like an endless bounty of fresh fruit. Colorful and bright, cantaloupe is the perfect addition to an edible garden. This sweet member of the melon family can be grown at home with tender care and a little luck",green-thumb/cantaloupe_bg
8,Carrots,Daucus carota subsp. sativus,100,400,2020-01-01,Sun or partial afternoon shade.,0.7,1.05,0.95,20,30,30,20,green-thumb/carrot,carrot.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC," Growing carrots, or any root vegetable, can be a bit of a gamble since you can't see how well they are doing until you harvest. Even though the roots are growing underground, carrot tops need full sun to light shade for the carrots to grow quickly and develop their sugars.",green-thumb/carrot_bg
9,Cauliflower,Brassica oleracea var. botrytis,500,600,2020-09-01,Full sun,0.7,1.05,0.95,35,50,40,15,green-thumb/cauliflower,cauliflower.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Cauliflower is one of the many cabbage related cole crops that revel in cool weather. Cauliflower is not the easiest vegetable to grow, because it is very sensitive to temperature changes. Cauliflower needs consistent moisture and plenty of it. Without sufficient water, the heads turn bitter.",green-thumb/cauliflower_bg
10,Celery,Apium graveolens,300,450,2020-10-01,,0.7,1.05,1.0,25,40,95,20,green-thumb/celery,celery.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Learning how to grow celery is simple. The main features this crop requires are rich soil, plenty of water, and protection from hot sun and high temperatures. Because a celery plant has such a long maturity time, unless you live in a location with long growing seasons, you need to start celery seeds indoors at least eight to 10 weeks before the last frost date for your area.",green-thumb/celery_bg
