name,scientific_name,description,spacing_mm,height_mm,earliest_plant_day,sunshine,kc_ini,kc_mid,kc_end,l_ini_days,l_dev_days,l_mid_days,l_end_days,icon,photo_url,photo_bg
Artichoke,Cynara scolymus,"Artichokes are usually grown for the edible flower buds, which are harvested before the flowers open. It need a lot of space to grow as they turn into giant bushes.",1200,900,01/04/2020,Full sun,0.5,1,0.95,40,40,250,30,artichoke.svg,green-thumb/artichoke,green-thumb/artichoke_bg
Asparagus,Asparagus officinalis," As a vegetable, it has been prized by epicures since Roman times. They enjoy fertile, well drained and free of persistent weeds soil. And grow well alongside tomatoes",300,250,01/02/2020,Full sun,0.5,0.95,0.3,50,30,100,50,asparagus.svg,green-thumb/asparagus,green-thumb/asparagus_bg
Beet,Beta vulgaris,"Beets should be a staple of any vegetable garden. As well as being truly delicious, they’re really easy to grow from seed – and you don’t have to wait long ’til harvest time.",150,600,01/03/2020,,0.35,1.2,0.7,30,45,90,15,sugar-beet.svg,green-thumb/sugar-beet,green-thumb/sugar-beet_bg
Bell peppers,Capsicum annuum Group,"
Peppers, especially the sweet varieties, are a popular pick to grow in the vegetable garden. they can be challenging to grow in some areas, because they need a good deal of heat and sun to set and ripen their fruits. Pepper plants will sit in the garden and wait for the right conditions before they really start to grow. ",350,900,01/04/2020,Full sun,0.6,1.05,0.9,25,35,40,20,bell-pepper.svg,green-thumb/bell-pepper,green-thumb/bell-pepper_bg
Broccoli,Brassica oleracea var. italica,"Broccoli (Brassica oleracea) is a member of the cabbage family. It is an excellent plant to grow, because not only is it one of the most nutritious of all vegetables, but it is fairly easy to maintain and is not fussy. A cool-season vegetable, broccoli fully matures in only six to eight weeks and then can be cleared away to make room for a late summer or fall crop. In areas where frost comes late, you can plant it again for a fall crop.",450,750,01/09/2020,Full sun,0.7,1.05,0.95,35,45,40,15,broccoli.svg,green-thumb/broccoli,green-thumb/broccoli_bg
Cabbage,Brassica oleracea var. capitata,"Cabbages are some of the most popular vegetables to grow, although we tend to grow a small fraction of the hundreds of varieties available.​Cabbage plants can grow in cool weather, so you can get an early start on the season. They can also be re-seeded throughout the summer, to have a continual harvest of heads as you need them, rather than having them all mature at the same time.",500,900,01/09/2020,Full sun,0.7,1.05,0.95,40,60,50,15,cabbage.svg,green-thumb/cabbage,green-thumb/cabbage_bg
Cantaloupe,Cucumis melo var. cantalupensis,"Sweet, juicy cantaloupe fruit can be yours with the right combination of sun, soil, and—something that's a little hard to control—pollination. Nothing screams summer like an endless bounty of fresh fruit. Colorful and bright, cantaloupe is the perfect addition to an edible garden. This sweet member of the melon family can be grown at home with tender care and a little luck",900,2400,01/08/2020,Full sun,0.5,0.85,0.6,10,60,25,25,cantaloupe.svg,green-thumb/cantaloupe,green-thumb/cantaloupe_bg
Carrots,Daucus carota subsp. sativus," Growing carrots, or any root vegetable, can be a bit of a gamble since you can't see how well they are doing until you harvest. Even though the roots are growing underground, carrot tops need full sun to light shade for the carrots to grow quickly and develop their sugars.",100,400,01/01/2020,Sun or partial afternoon shade.,0.7,1.05,0.95,20,30,30,20,carrot.svg,green-thumb/carrot,green-thumb/carrot_bg
Cauliflower,Brassica oleracea var. botrytis,"Cauliflower is one of the many cabbage related cole crops that revel in cool weather. Cauliflower is not the easiest vegetable to grow, because it is very sensitive to temperature changes. Cauliflower needs consistent moisture and plenty of it. Without sufficient water, the heads turn bitter.",500,600,01/09/2020,Full sun,0.7,1.05,0.95,35,50,40,15,cauliflower.svg,green-thumb/cauliflower,green-thumb/cauliflower_bg
Celery,Apium graveolens,"Learning how to grow celery is simple. The main features this crop requires are rich soil, plenty of water, and protection from hot sun and high temperatures. Because a celery plant has such a long maturity time, unless you live in a location with long growing seasons, you need to start celery seeds indoors at least eight to 10 weeks before the last frost date for your area.",300,450,01/10/2020,,0.7,1.05,1,25,40,95,20,celery.svg,green-thumb/celery,green-thumb/celery_bg
